system_prompt,model,batch_size,fuzzy_mode,n_iters,char_f1_pct,char_f1_std_pct,char_f1_report,char_precision_pct,char_precision_std_pct,char_precision_report,char_recall_pct,char_recall_std_pct,char_recall_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_LEGALQA,gemma3:4b,1,True,5,36.18,2.04,36.18 ± 2.04,41.47,3.97,41.47 ± 3.97,36.76,1.69,36.76 ± 1.69,5.0,1.581,2.97,0.95,47.0,6.964,27.87,3.97,14.2,3.633,8.38,1.92,102.4,7.537,60.78,4.63,1.62,0.08
SYSTEM_PROMPT_LEGALQA,qwen3:8b,1,True,5,48.44,2.08,48.44 ± 2.08,59.52,2.82,59.52 ± 2.82,46.35,1.94,46.35 ± 1.94,0.6,0.548,0.49,0.45,2.8,0.447,2.32,0.39,4.0,2.0,3.33,1.67,113.0,3.391,93.7,1.25,1.204,0.085
SYSTEM_PROMPT_LEGALQA,gpt-oss:20b,1,True,5,55.02,3.43,55.02 ± 3.43,61.12,3.73,61.12 ± 3.73,55.53,3.92,55.53 ± 3.92,0.2,0.447,0.15,0.33,9.6,3.647,7.78,2.88,4.2,1.643,3.45,1.48,108.6,5.941,88.61,1.71,3.393,0.459
SYSTEM_PROMPT_LEGALQA,llama3.1:8b,1,True,5,26.03,1.88,26.03 ± 1.88,35.65,2.56,35.65 ± 2.56,24.71,2.22,24.71 ± 2.22,4.6,2.302,2.24,1.09,54.2,5.805,26.7,1.68,22.6,4.037,11.14,1.76,121.2,3.347,59.93,3.16,1.269,0.059
SYSTEM_PROMPT_LEGALQA_MD,gemma3:4b,1,True,5,34.98,2.44,34.98 ± 2.44,38.83,1.82,38.83 ± 1.82,35.38,2.96,35.38 ± 2.96,12.2,2.95,7.08,1.76,60.0,3.162,34.78,1.65,21.0,4.528,12.13,2.26,79.0,4.69,45.79,2.27,1.599,0.035
SYSTEM_PROMPT_LEGALQA_MD,qwen3:8b,1,True,5,39.98,3.15,39.98 ± 3.15,50.49,3.26,50.49 ± 3.26,38.28,3.28,38.28 ± 3.28,1.0,0.707,0.66,0.43,3.6,2.51,2.4,1.54,6.0,2.55,4.16,1.85,136.2,11.52,92.78,2.2,1.438,0.102
SYSTEM_PROMPT_LEGALQA_MD,gpt-oss:20b,1,True,5,55.24,1.28,55.24 ± 1.28,61.58,0.84,61.58 ± 0.84,54.94,2.08,54.94 ± 2.08,0.2,0.447,0.16,0.36,6.6,2.608,5.39,1.99,5.2,2.168,4.22,1.48,109.4,4.159,90.08,2.99,4.982,0.524
SYSTEM_PROMPT_LEGALQA_MD,llama3.1:8b,1,True,5,29.5,2.99,29.50 ± 2.99,38.65,3.61,38.65 ± 3.61,28.49,3.02,28.49 ± 3.02,4.0,1.225,2.12,0.56,46.8,5.404,25.06,2.89,25.6,1.517,13.74,1.22,110.4,8.444,59.07,3.33,1.31,0.103
SYSTEM_PROMPT_LEGALQA_MD_SHORT,gemma3:4b,1,True,5,39.7,1.45,39.70 ± 1.45,43.69,1.47,43.69 ± 1.47,39.65,1.69,39.65 ± 1.69,12.8,2.168,7.99,1.82,65.6,5.771,40.48,2.12,23.0,3.536,14.23,2.34,60.6,7.635,37.31,2.9,1.569,0.064
SYSTEM_PROMPT_LEGALQA_MD_SHORT,qwen3:8b,1,True,5,37.57,3.52,37.57 ± 3.52,49.49,2.81,49.49 ± 2.81,35.4,3.67,35.40 ± 3.67,0.8,0.837,0.59,0.62,4.6,2.51,3.39,1.78,7.4,2.302,5.51,1.78,122.0,4.183,90.51,2.46,1.321,0.105
SYSTEM_PROMPT_LEGALQA_MD_SHORT,gpt-oss:20b,1,True,5,50.73,5.14,50.73 ± 5.14,57.08,4.2,57.08 ± 4.20,50.3,5.83,50.30 ± 5.83,0.4,0.548,0.32,0.44,20.2,2.387,16.3,1.8,5.8,2.387,4.63,1.68,97.6,3.286,78.75,1.58,2.879,0.374
SYSTEM_PROMPT_LEGALQA_MD_SHORT,llama3.1:8b,1,True,5,27.54,4.6,27.54 ± 4.60,37.79,4.21,37.79 ± 4.21,25.97,4.75,25.97 ± 4.75,3.8,1.643,2.02,0.89,47.0,5.339,24.84,2.56,20.6,2.408,10.9,1.29,117.8,7.294,62.24,1.27,1.344,0.068
