system_prompt,model,batch_size,fuzzy_mode,n_iters,char_f1_pct,char_f1_std_pct,char_f1_report,char_precision_pct,char_precision_std_pct,char_precision_report,char_recall_pct,char_recall_std_pct,char_recall_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_LEGALQA,gemma3:4b,1,True,1,28.4,0.0,28.40 ± 0.00,32.1,0.0,32.10 ± 0.00,28.59,0.0,28.59 ± 0.00,0,0.0,0.0,0.0,6,0.0,24.0,0.0,1,0.0,4.0,0.0,18,0.0,72.0,0.0,0.216,0.0
SYSTEM_PROMPT_LEGALQA,qwen3:8b,1,True,1,37.32,0.0,37.32 ± 0.00,49.78,0.0,49.78 ± 0.00,34.78,0.0,34.78 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,0.0,100.0,0.0,0.206,0.0
SYSTEM_PROMPT_LEGALQA,gpt-oss:20b,1,True,1,38.61,0.0,38.61 ± 0.00,44.6,0.0,44.60 ± 0.00,36.48,0.0,36.48 ± 0.00,0,0.0,0.0,0.0,1,0.0,5.0,0.0,1,0.0,5.0,0.0,18,0.0,90.0,0.0,0.39,0.0
SYSTEM_PROMPT_LEGALQA,llama3.1:8b,1,True,1,14.58,0.0,14.58 ± 0.00,28.8,0.0,28.80 ± 0.00,11.47,0.0,11.47 ± 0.00,1,0.0,3.57,0.0,5,0.0,17.86,0.0,4,0.0,14.29,0.0,18,0.0,64.29,0.0,0.22,0.0
SYSTEM_PROMPT_LEGALQA_MD,gemma3:4b,1,True,1,61.01,0.0,61.01 ± 0.00,67.59,0.0,67.59 ± 0.00,59.15,0.0,59.15 ± 0.00,2,0.0,8.33,0.0,10,0.0,41.67,0.0,1,0.0,4.17,0.0,11,0.0,45.83,0.0,0.227,0.0
SYSTEM_PROMPT_LEGALQA_MD,qwen3:8b,1,True,1,22.59,0.0,22.59 ± 0.00,34.78,0.0,34.78 ± 0.00,19.98,0.0,19.98 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,0.0,100.0,0.0,0.242,0.0
SYSTEM_PROMPT_LEGALQA_MD,gpt-oss:20b,1,True,1,44.74,0.0,44.74 ± 0.00,49.65,0.0,49.65 ± 0.00,43.48,0.0,43.48 ± 0.00,0,0.0,0.0,0.0,1,0.0,5.0,0.0,0,0.0,0.0,0.0,19,0.0,95.0,0.0,0.55,0.0
SYSTEM_PROMPT_LEGALQA_MD,llama3.1:8b,1,True,1,24.53,0.0,24.53 ± 0.00,36.58,0.0,36.58 ± 0.00,22.38,0.0,22.38 ± 0.00,0,0.0,0.0,0.0,6,0.0,23.08,0.0,2,0.0,7.69,0.0,18,0.0,69.23,0.0,0.225,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,gemma3:4b,1,True,1,60.68,0.0,60.68 ± 0.00,67.15,0.0,67.15 ± 0.00,60.64,0.0,60.64 ± 0.00,3,0.0,14.29,0.0,10,0.0,47.62,0.0,3,0.0,14.29,0.0,5,0.0,23.81,0.0,0.211,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,qwen3:8b,1,True,1,26.43,0.0,26.43 ± 0.00,39.12,0.0,39.12 ± 0.00,23.34,0.0,23.34 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,0.0,100.0,0.0,0.239,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,gpt-oss:20b,1,True,1,41.2,0.0,41.20 ± 0.00,48.2,0.0,48.20 ± 0.00,39.7,0.0,39.70 ± 0.00,0,0.0,0.0,0.0,3,0.0,16.67,0.0,3,0.0,16.67,0.0,12,0.0,66.67,0.0,0.371,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,llama3.1:8b,1,True,1,25.53,0.0,25.53 ± 0.00,41.94,0.0,41.94 ± 0.00,22.63,0.0,22.63 ± 0.00,0,0.0,0.0,0.0,6,0.0,24.0,0.0,2,0.0,8.0,0.0,17,0.0,68.0,0.0,0.219,0.0
