source_file,model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
uner_all_Qwen3-8B_1_BS_think0_sampling.csv,Qwen/Qwen3-8B,uner_all,False,False,n|a,,sampling,True,unconstrained,n|a,1,25,18000,42,1,53.85 ± 0.00,51.22 ± 0.00,52.50 ± 0.00,88.56 ± 0.00,52.85 ± 0.00,61.88 ± 0.00,57.01 ± 0.00,52.85 ± 0.00,61.88 ± 0.00,57.01 ± 0.00,10,0.0,40.00 ± 0.00,0,0.0,0.00 ± 0.00,24,0.0,38.10 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.264,0.0
uner_all_Qwen3-8B_1_BS_think0_sampling.csv,Qwen/Qwen3-8B,uner_all,False,False,n|a,,sampling,True,constrained,token_aware,1,25,18000,42,1,47.62 ± 0.00,73.17 ± 0.00,57.69 ± 0.00,88.91 ± 0.00,49.57 ± 0.00,86.14 ± 0.00,62.93 ± 0.00,49.57 ± 0.00,86.14 ± 0.00,62.93 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.305,0.0
uner_all_Qwen3-8B_64_BS_think0_sampling.csv,Qwen/Qwen3-8B,uner_all,False,False,n|a,,sampling,True,unconstrained,n|a,64,128,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,87.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,265,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,5.14,0.0
uner_all_Qwen3-8B_64_BS_think0_sampling.csv,Qwen/Qwen3-8B,uner_all,False,False,n|a,,sampling,True,constrained,token_aware,64,128,18000,42,1,64.73 ± 0.00,75.42 ± 0.00,69.67 ± 0.00,92.63 ± 0.00,65.78 ± 0.00,74.93 ± 0.00,70.06 ± 0.00,75.54 ± 0.00,86.05 ± 0.00,80.45 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,5.356,0.0
uner_all_Qwen3.8-27B_1_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,uner_all,False,False,n|a,,sampling,True,unconstrained,n|a,1,25,18000,42,1,77.78 ± 0.00,51.22 ± 0.00,61.76 ± 0.00,92.55 ± 0.00,74.44 ± 0.00,49.01 ± 0.00,59.10 ± 0.00,77.82 ± 0.00,51.24 ± 0.00,61.79 ± 0.00,9,0.0,36.00 ± 0.00,0,0.0,0.00 ± 0.00,19,0.0,41.30 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2.023,0.0
uner_all_Qwen3.8-27B_1_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,uner_all,False,False,n|a,,sampling,True,constrained,token_aware,1,25,18000,42,1,65.38 ± 0.00,82.93 ± 0.00,73.12 ± 0.00,84.40 ± 0.00,47.25 ± 0.00,95.54 ± 0.00,63.23 ± 0.00,48.35 ± 0.00,97.77 ± 0.00,64.70 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2.611,0.0
uner_all_Qwen3.8-27B_1_BS_think1_effort_low_sampling.csv,Qwen/Qwen3.8-27B,uner_all,True,False,low,,sampling,True,unconstrained,n|a,1,25,18000,42,1,76.67 ± 0.00,56.10 ± 0.00,64.79 ± 0.00,93.41 ± 0.00,80.66 ± 0.00,48.51 ± 0.00,60.59 ± 0.00,84.36 ± 0.00,50.74 ± 0.00,63.37 ± 0.00,8,0.0,32.00 ± 0.00,0,0.0,0.00 ± 0.00,15,0.0,33.33 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,201.36,0.0,10.314,0.0
uner_all_Qwen3.8-27B_1_BS_think1_effort_low_sampling.csv,Qwen/Qwen3.8-27B,uner_all,True,False,low,,sampling,True,constrained,token_aware,1,25,18000,42,1,61.70 ± 0.00,70.73 ± 0.00,65.91 ± 0.00,76.60 ± 0.00,37.91 ± 0.00,96.29 ± 0.00,54.41 ± 0.00,37.91 ± 0.00,96.29 ± 0.00,54.41 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,203.12,0.0,10.668,0.0
uner_all_Qwen3.8-27B_64_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,uner_all,False,False,n|a,,sampling,True,unconstrained,n|a,64,128,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,87.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,186,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,11.742,0.0
uner_all_Qwen3.8-27B_64_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,uner_all,False,False,n|a,,sampling,True,constrained,token_aware,64,128,18000,42,1,73.65 ± 0.00,46.19 ± 0.00,56.77 ± 0.00,92.99 ± 0.00,93.79 ± 0.00,40.94 ± 0.00,57.00 ± 0.00,95.89 ± 0.00,41.86 ± 0.00,58.28 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,10.235,0.0
