system_prompt,model,fuzzy_mode,n_iters,char_f1_pct,char_f1_std_pct,char_f1_report,char_precision_pct,char_precision_std_pct,char_precision_report,char_recall_pct,char_recall_std_pct,char_recall_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_TOXIC_SPANS,gemma3:4b,True,1,33.5,0.0,33.50 ± 0.00,33.05,0.0,33.05 ± 0.00,42.0,0.0,42.00 ± 0.00,0,0.0,0.0,0.0,10,0.0,28.57,0.0,3,0.0,8.57,0.0,22,0.0,62.86,0.0,0.312,0.0
SYSTEM_PROMPT_TOXIC_SPANS,qwen3:8b,True,1,25.54,0.0,25.54 ± 0.00,20.32,0.0,20.32 ± 0.00,45.0,0.0,45.00 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,51,0.0,100.0,0.0,0.427,0.0
SYSTEM_PROMPT_TOXIC_SPANS,gpt-oss:20b,True,1,29.21,0.0,29.21 ± 0.00,27.99,0.0,27.99 ± 0.00,38.0,0.0,38.00 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,0.0,100.0,0.0,0.872,0.0
SYSTEM_PROMPT_TOXIC_SPANS,llama3.1:8b,True,1,29.08,0.0,29.08 ± 0.00,26.47,0.0,26.47 ± 0.00,35.0,0.0,35.00 ± 0.00,0,0.0,0.0,0.0,8,0.0,18.18,0.0,3,0.0,6.82,0.0,33,0.0,75.0,0.0,0.416,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD,gemma3:4b,True,1,36.1,0.0,36.10 ± 0.00,35.16,0.0,35.16 ± 0.00,40.0,0.0,40.00 ± 0.00,0,0.0,0.0,0.0,15,0.0,48.39,0.0,2,0.0,6.45,0.0,14,0.0,45.16,0.0,0.308,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD,qwen3:8b,True,1,25.54,0.0,25.54 ± 0.00,20.32,0.0,20.32 ± 0.00,45.0,0.0,45.00 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,58,0.0,98.31,0.0,0.502,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD,gpt-oss:20b,True,1,27.03,0.0,27.03 ± 0.00,26.54,0.0,26.54 ± 0.00,33.0,0.0,33.00 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,0.0,100.0,0.0,0.765,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD,llama3.1:8b,True,1,35.24,0.0,35.24 ± 0.00,33.35,0.0,33.35 ± 0.00,40.0,0.0,40.00 ± 0.00,0,0.0,0.0,0.0,3,0.0,15.0,0.0,0,0.0,0.0,0.0,17,0.0,85.0,0.0,0.28,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,gemma3:4b,True,1,30.55,0.0,30.55 ± 0.00,28.85,0.0,28.85 ± 0.00,35.0,0.0,35.00 ± 0.00,0,0.0,0.0,0.0,21,0.0,60.0,0.0,2,0.0,5.71,0.0,12,0.0,34.29,0.0,0.304,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,qwen3:8b,True,1,22.04,0.0,22.04 ± 0.00,18.1,0.0,18.10 ± 0.00,35.0,0.0,35.00 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,0.0,100.0,0.0,0.511,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,gpt-oss:20b,True,1,31.77,0.0,31.77 ± 0.00,31.35,0.0,31.35 ± 0.00,38.0,0.0,38.00 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32,0.0,100.0,0.0,0.84,0.0
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,llama3.1:8b,True,1,37.71,0.0,37.71 ± 0.00,35.0,0.0,35.00 ± 0.00,45.0,0.0,45.00 ± 0.00,0,0.0,0.0,0.0,9,0.0,21.43,0.0,2,0.0,4.76,0.0,31,0.0,73.81,0.0,0.376,0.0
