system_prompt,model,batch_size,fuzzy_mode,n_iters,char_f1_pct,char_f1_std_pct,char_f1_report,char_precision_pct,char_precision_std_pct,char_precision_report,char_recall_pct,char_recall_std_pct,char_recall_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_LEGALQA,gemma3:4b,1,False,1,33.4,0.0,33.40 ± 0.00,37.1,0.0,37.10 ± 0.00,33.59,0.0,33.59 ± 0.00,1,0.0,4.0,0.0,7,0.0,28.0,0.0,0,0.0,0.0,0.0,17,0.0,68.0,0.0,0.362,0.0
SYSTEM_PROMPT_LEGALQA,qwen3:8b,1,False,1,37.32,0.0,37.32 ± 0.00,49.78,0.0,49.78 ± 0.00,34.78,0.0,34.78 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,0.0,100.0,0.0,0.359,0.0
SYSTEM_PROMPT_LEGALQA,gpt-oss:20b,1,False,1,45.92,0.0,45.92 ± 0.00,49.65,0.0,49.65 ± 0.00,44.34,0.0,44.34 ± 0.00,1,0.0,5.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,0.0,95.0,0.0,1.106,0.0
SYSTEM_PROMPT_LEGALQA,llama3.1:8b,1,False,1,18.49,0.0,18.49 ± 0.00,34.75,0.0,34.75 ± 0.00,15.58,0.0,15.58 ± 0.00,3,0.0,10.71,0.0,8,0.0,28.57,0.0,0,0.0,0.0,0.0,17,0.0,60.71,0.0,0.405,0.0
SYSTEM_PROMPT_LEGALQA_MD,gemma3:4b,1,False,1,58.07,0.0,58.07 ± 0.00,64.81,0.0,64.81 ± 0.00,56.02,0.0,56.02 ± 0.00,6,0.0,25.0,0.0,7,0.0,29.17,0.0,0,0.0,0.0,0.0,11,0.0,45.83,0.0,0.227,0.0
SYSTEM_PROMPT_LEGALQA_MD,qwen3:8b,1,False,1,22.59,0.0,22.59 ± 0.00,34.78,0.0,34.78 ± 0.00,19.98,0.0,19.98 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,0.0,100.0,0.0,0.242,0.0
SYSTEM_PROMPT_LEGALQA_MD,gpt-oss:20b,1,False,1,55.1,0.0,55.10 ± 0.00,59.6,0.0,59.60 ± 0.00,52.94,0.0,52.94 ± 0.00,0,0.0,0.0,0.0,3,0.0,14.29,0.0,0,0.0,0.0,0.0,18,0.0,85.71,0.0,0.506,0.0
SYSTEM_PROMPT_LEGALQA_MD,llama3.1:8b,1,False,1,27.03,0.0,27.03 ± 0.00,37.22,0.0,37.22 ± 0.00,24.82,0.0,24.82 ± 0.00,5,0.0,19.23,0.0,3,0.0,11.54,0.0,0,0.0,0.0,0.0,18,0.0,69.23,0.0,0.226,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,gemma3:4b,1,False,1,57.5,0.0,57.50 ± 0.00,64.81,0.0,64.81 ± 0.00,55.64,0.0,55.64 ± 0.00,6,0.0,27.27,0.0,12,0.0,54.55,0.0,0,0.0,0.0,0.0,4,0.0,18.18,0.0,0.21,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,qwen3:8b,1,False,1,26.43,0.0,26.43 ± 0.00,39.12,0.0,39.12 ± 0.00,23.34,0.0,23.34 ± 0.00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,0.0,100.0,0.0,0.239,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,gpt-oss:20b,1,False,1,45.15,0.0,45.15 ± 0.00,49.65,0.0,49.65 ± 0.00,43.33,0.0,43.33 ± 0.00,0,0.0,0.0,0.0,4,0.0,23.53,0.0,0,0.0,0.0,0.0,13,0.0,76.47,0.0,0.417,0.0
SYSTEM_PROMPT_LEGALQA_MD_SHORT,llama3.1:8b,1,False,1,17.88,0.0,17.88 ± 0.00,30.0,0.0,30.00 ± 0.00,15.11,0.0,15.11 ± 0.00,2,0.0,7.69,0.0,8,0.0,30.77,0.0,0,0.0,0.0,0.0,16,0.0,61.54,0.0,0.217,0.0
