source_file,model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
conll2003_Qwen3-8B_1_BS_think0_sampling.csv,Qwen/Qwen3-8B,conll2003,False,False,n|a,,sampling,True,unconstrained,n|a,1,25,18000,42,1,28.57 ± 0.00,38.71 ± 0.00,32.88 ± 0.00,79.62 ± 0.00,49.29 ± 0.00,53.54 ± 0.00,51.33 ± 0.00,65.44 ± 0.00,71.08 ± 0.00,68.14 ± 0.00,5,0.0,20.00 ± 0.00,0,0.0,0.00 ± 0.00,5,0.0,10.64 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.64,0.0
conll2003_Qwen3-8B_1_BS_think0_sampling.csv,Qwen/Qwen3-8B,conll2003,False,False,n|a,,sampling,True,constrained,token_aware,1,25,18000,42,1,40.62 ± 0.00,41.94 ± 0.00,41.27 ± 0.00,84.53 ± 0.00,52.35 ± 0.00,48.00 ± 0.00,50.08 ± 0.00,70.81 ± 0.00,64.92 ± 0.00,67.74 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.576,0.0
conll2003_Qwen3-8B_64_BS_think0_sampling.csv,Qwen/Qwen3-8B,conll2003,False,False,n|a,,sampling,True,unconstrained,n|a,64,128,18000,42,1,53.73 ± 0.00,19.89 ± 0.00,29.03 ± 0.00,86.97 ± 0.00,62.57 ± 0.00,25.29 ± 0.00,36.02 ± 0.00,92.35 ± 0.00,37.33 ± 0.00,53.17 ± 0.00,1,0.0,50.00 ± 0.00,0,0.0,0.00 ± 0.00,104,0.0,60.82 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2.856,0.0
conll2003_Qwen3-8B_64_BS_think0_sampling.csv,Qwen/Qwen3-8B,conll2003,False,False,n|a,,sampling,True,constrained,token_aware,64,128,18000,42,1,55.28 ± 0.00,60.77 ± 0.00,57.89 ± 0.00,91.23 ± 0.00,61.78 ± 0.00,62.84 ± 0.00,62.30 ± 0.00,83.98 ± 0.00,85.42 ± 0.00,84.70 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,3.126,0.0
conll2003_Qwen3.8-27B_1_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,conll2003,False,False,n|a,,sampling,True,unconstrained,n|a,1,25,18000,42,1,46.15 ± 0.00,38.71 ± 0.00,42.11 ± 0.00,86.79 ± 0.00,55.38 ± 0.00,42.77 ± 0.00,48.26 ± 0.00,83.27 ± 0.00,64.31 ± 0.00,72.57 ± 0.00,5,0.0,20.00 ± 0.00,0,0.0,0.00 ± 0.00,7,0.0,21.21 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.49,0.0
conll2003_Qwen3.8-27B_1_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,conll2003,False,False,n|a,,sampling,True,constrained,token_aware,1,25,18000,42,1,45.71 ± 0.00,51.61 ± 0.00,48.48 ± 0.00,87.92 ± 0.00,55.25 ± 0.00,68.00 ± 0.00,60.97 ± 0.00,80.50 ± 0.00,99.08 ± 0.00,88.83 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.514,0.0
conll2003_Qwen3.8-27B_1_BS_think1_effort_low_sampling.csv,Qwen/Qwen3.8-27B,conll2003,True,False,low,,sampling,True,unconstrained,n|a,1,25,18000,42,1,60.00 ± 0.00,48.39 ± 0.00,53.57 ± 0.00,90.57 ± 0.00,65.36 ± 0.00,56.31 ± 0.00,60.50 ± 0.00,91.43 ± 0.00,78.77 ± 0.00,84.63 ± 0.00,1,0.0,4.00 ± 0.00,0,0.0,0.00 ± 0.00,4,0.0,13.79 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,182.64,0.0,8.835,0.0
conll2003_Qwen3.8-27B_1_BS_think1_effort_low_sampling.csv,Qwen/Qwen3.8-27B,conll2003,True,False,low,,sampling,True,constrained,token_aware,1,25,18000,42,1,51.72 ± 0.00,48.39 ± 0.00,50.00 ± 0.00,89.43 ± 0.00,53.85 ± 0.00,51.69 ± 0.00,52.75 ± 0.00,87.18 ± 0.00,83.69 ± 0.00,85.40 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,175.08,0.0,8.497,0.0
conll2003_Qwen3.8-27B_64_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,conll2003,False,False,n|a,,sampling,True,unconstrained,n|a,64,128,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,83.47 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,27,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,7.659,0.0
conll2003_Qwen3.8-27B_64_BS_think0_sampling.csv,Qwen/Qwen3.8-27B,conll2003,False,False,n|a,,sampling,True,constrained,token_aware,64,128,18000,42,1,71.11 ± 0.00,70.72 ± 0.00,70.91 ± 0.00,92.89 ± 0.00,72.49 ± 0.00,68.97 ± 0.00,70.68 ± 0.00,82.47 ± 0.00,78.46 ± 0.00,80.42 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,8.422,0.0
